Smart TV
Top 3 Search Results
Search,Rank,Name,Rating,Reviews
2,"Samsung - 40"" Class (40"" Diag.) - LED - 1080p - Smart - HDTV",4.6,5857
4,"LG - 43"" Class (42.5"" Diag.) - LED - 1080p - Smart - HDTV",4.6,258
7,"LG - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",4.6,171
Search Results
Search Rank,Name,Rating,Reviews
2,"Samsung - 40"" Class (40"" Diag.) - LED - 1080p - Smart - HDTV",4.6,5857
12,"Samsung - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV",4.7,5408
15,"Samsung - 28"" Class (27-1/2"" Diag.) - LED - 720p - Smart - HDTV",4.6,2043
17,"Samsung - 40"" Class (40"" Diag.) - LED - 1080p - Smart - HDTV",4.6,3502
18,"Samsung - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",4.7,3447
19,"Samsung - 60"" Class (60"" Diag.) - LED - 1080p - Smart - HDTV",4.6,2533
22,"Samsung - 24"" Class (23-5/8"" Diag.) - LED - 720p - Smart - HDTV",4.5,2695
23,"Samsung - 55"" Class (54.6"" Diag.) - LED - 1080p - Smart - HDTV",4.6,3295
4,"LG - 43"" Class (42.5"" Diag.) - LED - 1080p - Smart - HDTV",4.6,258
7,"LG - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",4.6,171
21,"LG - 24"" Class (23.8"" Diag.) - LED - 720p - Smart - HDTV",4.6,212
24,"LG - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - HDTV",4.8,48
Ranking Search Trend
Search Rank,Rating
1,4.5
2,4.6
3,4.5
4,4.6
5,4.6
6,4.2
7,4.6
8,4.5
9,5.0
10,4.2
11,4.3
12,4.7
13,4.6
14,4.0
15,4.6
16,4.2
17,4.6
18,4.7
19,4.6
20,4.5
21,4.6
22,4.5
23,4.6
24,4.8
Review Search Trend
Search Rank,Reviews
1,4789
2,5857
3,4432
4,258
5,2980
6,294
7,171
8,2536
9,1
10,637
11,58
12,5408
13,60
14,404
15,2043
16,116
17,3502
18,3447
19,2533
20,933
21,212
22,2695
23,3295
24,48
