smart tv
Top 3 Search Results
Search Rank,Name,Rating,Reviews
1,"Samsung - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",4.7,195
5,"Samsung - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.7,279
7,"Samsung - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - HDTV",4.6,3611
Search Results
Search Rank,Name,Rating,Reviews
1,"Samsung - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",4.7,195
5,"Samsung - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.7,279
7,"Samsung - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - HDTV",4.6,3611
8,"Samsung - 28"" Class (27-1/2"" Diag.) - LED - 720p - Smart - HDTV",4.6,2045
9,"Samsung - 55"" Class (54.6"" Diag.) - LED - 1080p - Smart - HDTV",4.6,3295
12,"Samsung - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV",4.7,5410
14,"Samsung - 60"" Class (60"" Diag.) - LED - 1080p - Smart - HDTV",4.6,2533
15,"LG - 55"" Class (54.6"" Diag.) - LED - 1080p - Smart - HDTV",4.6,212
16,"LG - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",4.6,174
20,"Samsung - 40"" Class (40"" Diag.) - LED - 1080p - Smart - HDTV",4.6,5859
23,"LG - 24"" Class (23.8"" Diag.) - LED - 720p - Smart - HDTV",4.6,212
Ranking Search Trend
Search Rank,Rating
1,4.7
5,4.7
7,4.6
8,4.6
9,4.6
12,4.7
14,4.6
15,4.6
16,4.6
20,4.6
23,4.6
Review Search Trend
Search Rank,Reviews
1,4.7
5,4.7
7,4.6
8,4.6
9,4.6
12,4.7
14,4.6
15,4.6
16,4.6
20,4.6
23,4.6
curved smart tv
Top 3 Search Results
Search Rank,Name,Rating,Reviews
1,"Samsung - 55"" Class (54.6"" Diag.) - LED Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.7,164
2,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",4.7,203
3,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.9,68
Search Results
Search Rank,Name,Rating,Reviews
1,"Samsung - 55"" Class (54.6"" Diag.) - LED Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.7,164
2,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",4.7,203
3,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.9,68
4,"Samsung - 88"" Class (88"" Diag.) - Curved -  2160p - Smart - 4K Ultra HD TV with High Dynamic Range",5.0,1
5,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.7,216
6,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",4.7,123
7,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.9,35
8,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.8,24
9,"Samsung - 75"" Class (74.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.2,13
10,"Samsung - 55"" Class (54.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.7,7
11,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",4.6,10
12,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV - with High Dynamic Range",4.8,524
Ranking Search Trend
Search Rank,Rating
1,4.7
2,4.7
3,4.9
4,5.0
5,4.7
6,4.7
7,4.9
8,4.8
9,4.2
10,4.7
11,4.6
12,4.8
Review Search Trend
Search Rank,Reviews
1,4.7
2,4.7
3,4.9
4,5.0
5,4.7
6,4.7
7,4.9
8,4.8
9,4.2
10,4.7
11,4.6
12,4.8
